Scaler,Strategy,StrategyParam,n_components_used,k,Mean_Silhouette,STD_Silhouette,Mean_ARI_over_inits,STD_ARI_over_inits
RobustScaler,fixed_n,n=2,2,3,0.7629375711642528,0.0021783413964391765,0.9721278658940109,0.037524008921826314
RobustScaler,fixed_n,n=2,2,2,0.7290007311630509,0.006171287587986919,0.9554200025360388,0.041626067556119875
RobustScaler,fixed_n,n=5,5,3,0.6861929940276043,0.0,1.0,0.0
RobustScaler,fixed_n,n=2,2,7,0.6829539267322822,0.0006330204880542478,0.9714208491357071,0.025561969628712433
RobustScaler,fixed_n,n=2,2,6,0.6754815618270898,0.0003186449517436366,0.9759999677241505,0.025657113727927342
RobustScaler,fixed_n,n=5,5,4,0.6700095568492145,0.005802763356300937,0.93951761016555,0.05431589765271339
RobustScaler,fixed_n,n=2,2,4,0.6682639481142276,0.0024170576373851115,0.9883787871700113,0.023242425659977254
RobustScaler,fixed_n,n=5,5,2,0.6643836084724841,0.004108502990667351,0.9870962117345016,0.025807576530996766
RobustScaler,fixed_n,n=2,2,5,0.6622867758989821,0.0020034677321815186,0.9907222479623011,0.018555504075398056
RobustScaler,fixed_n,n=8,8,3,0.6469373941634837,1.1102230246251565e-16,1.0,0.0
RobustScaler,evr,evr>=0.90,9,3,0.6406551483619826,1.1102230246251565e-16,1.0,0.0
RobustScaler,fixed_n,n=10,10,3,0.63186637820732,1.1102230246251565e-16,1.0,0.0
RobustScaler,fixed_n,n=8,8,2,0.6293325882046359,0.004436293799090707,0.9870962117345016,0.025807576530996766
RobustScaler,fixed_n,n=8,8,4,0.6270718542240534,0.0063913644988391125,0.965688480054394,0.02607669327817751
RobustScaler,evr,evr>=0.90,9,2,0.6235655198673541,0.00450028174822732,0.9870962117345016,0.025807576530996766
RobustScaler,evr,evr>=0.90,9,4,0.6188223711661444,0.004546263693068498,0.9440826787882635,0.05806885599891765
RobustScaler,fixed_n,n=10,10,2,0.6154847745006775,0.004602207633883326,0.9870962117345016,0.025807576530996766
RobustScaler,evr,evr>=0.95,14,3,0.6125004788621174,0.003125101509554096,0.9856822584965884,0.019275849415455112
RobustScaler,fixed_n,n=10,10,4,0.5981251787661602,0.035055454236143174,0.9038315505452017,0.0907082818733919
RobustScaler,evr,evr>=0.95,14,2,0.596188706044766,0.004835015065461379,0.9870962117345016,0.025807576530996766
RobustScaler,fixed_n,n=5,5,5,0.5887419693207607,0.016063348000490994,0.8752683150700602,0.16058406956186144
RobustScaler,no_pca,-,30,3,0.5877317520418884,0.0035709670106355566,0.9812079642767725,0.020089531221809745
RobustScaler,evr,evr>=0.95,14,4,0.5760265431180039,0.039252420251854166,0.9009449997359616,0.08724761983253662
RobustScaler,fixed_n,n=5,5,6,0.5725417168398534,0.03241541007696748,0.8200930710093814,0.13388014768236506
RobustScaler,no_pca,-,30,2,0.5713060204954055,0.0,1.0,0.0
RobustScaler,no_pca,-,30,4,0.559253086468017,0.0122486372534093,0.9168651655171851,0.05526882408904048
RobustScaler,fixed_n,n=5,5,7,0.5583160142266049,0.018313159521497212,0.8680354067382875,0.13500866858020868
RobustScaler,fixed_n,n=8,8,5,0.5064331008745568,0.03000052629745206,0.7574299091166706,0.15843938469586294
RobustScaler,evr,evr>=0.90,9,5,0.5048661189377399,0.019028860570655108,0.791332716807379,0.1934998766383312
RobustScaler,evr,evr>=0.90,9,6,0.4840192939186119,0.036695536220511846,0.8048589942785911,0.14277800414912903
RobustScaler,fixed_n,n=8,8,6,0.481552816748301,0.05425341934951275,0.8154272425752156,0.1402459015363188
RobustScaler,fixed_n,n=10,10,5,0.48031274210154973,0.02284904285510939,0.7492207867455183,0.19555799017574574
RobustScaler,fixed_n,n=10,10,6,0.4463846860758208,0.046518260698461676,0.7917456097333119,0.16363195629692015
RobustScaler,evr,evr>=0.90,9,7,0.4404845192312766,0.018546160766002788,0.8754320412084403,0.10269613382568692
RobustScaler,fixed_n,n=8,8,7,0.4386198984556115,0.015356724062891763,0.7916052931586697,0.13308125994872208
RobustScaler,evr,evr>=0.95,14,6,0.433297942657849,0.03269252304664001,0.8524401398591686,0.15098284358541128
RobustScaler,evr,evr>=0.95,14,5,0.42833117014915845,0.04682786516873478,0.7189055817778507,0.18305540293913994
StandardScaler,fixed_n,n=2,2,3,0.42534598968941156,0.0,1.0,0.0
MinMaxScaler,fixed_n,n=2,2,3,0.4224069789699289,5.551115123125783e-17,1.0,0.0
RobustScaler,fixed_n,n=10,10,7,0.41444956548750367,0.022968310667520475,0.8062134150162559,0.12226564162535569
RobustScaler,no_pca,-,30,5,0.41200342972015297,0.016618882029601666,0.7455289601414837,0.19375679392763023
MinMaxScaler,fixed_n,n=2,2,6,0.38745429363562983,0.004116940943960762,0.9494481277296787,0.055341242674070444
StandardScaler,fixed_n,n=2,2,6,0.38615002076360316,0.0025890614945557645,0.9051120842771385,0.0808588274758783
MinMaxScaler,fixed_n,n=2,2,7,0.3838952826225942,0.0072571237298935274,0.8684815274120701,0.09515525182113763
MinMaxScaler,fixed_n,n=2,2,5,0.38027681302555316,0.0033483226841352133,0.9307445827283962,0.05539322930464991
StandardScaler,fixed_n,n=2,2,7,0.3797022408563117,0.014262995408259548,0.861685287394253,0.0982318636355761
StandardScaler,fixed_n,n=2,2,5,0.37902804750100627,0.0007236664720769707,0.9672865043039487,0.027209574753137396
MinMaxScaler,fixed_n,n=2,2,4,0.3746667374107733,0.0017402034163238576,0.9810601846719987,0.017160693237437054
RobustScaler,evr,evr>=0.95,14,7,0.36605742683087567,0.02804034376588261,0.7797288927028316,0.15537611862049447
StandardScaler,fixed_n,n=2,2,4,0.3650499312736982,0.0003913140827530821,0.9894004894170684,0.011331353448232688
MinMaxScaler,fixed_n,n=2,2,2,0.3632309379207329,0.0036320683669913215,0.8412721412480196,0.2924132371945846
RobustScaler,no_pca,-,30,6,0.35610080103331265,0.05640311632709765,0.7480557050985113,0.14451310655349844
StandardScaler,fixed_n,n=2,2,2,0.3487772698734803,5.551115123125783e-17,1.0,0.0
RobustScaler,no_pca,-,30,7,0.3323978758876851,0.028230074776303515,0.8058268127166464,0.10754299521655603
StandardScaler,fixed_n,n=5,5,2,0.3037454107495987,0.006179397540802794,0.9589797175385691,0.03659089188536255
MinMaxScaler,fixed_n,n=5,5,2,0.2970952076335171,0.0,1.0,0.0
MinMaxScaler,fixed_n,n=8,8,2,0.22430924455854662,0.01285224741533218,0.9093610296189163,0.06696544074669594
StandardScaler,fixed_n,n=5,5,4,0.221620745854353,0.0006793739102658692,0.9882583625048769,0.01064304935972427
StandardScaler,fixed_n,n=8,8,2,0.22126716247299827,0.008449457268817741,0.9437248430725526,0.04361481305085534
StandardScaler,fixed_n,n=5,5,7,0.2164857395773244,0.007959274818843853,0.6495419095533658,0.11055194887462902
StandardScaler,fixed_n,n=10,10,2,0.21144018500060588,0.0035758672023332495,0.9836368703468594,0.03272625930628115
StandardScaler,fixed_n,n=5,5,6,0.2100732417923074,0.004788417742060679,0.7552194867123041,0.11151431799260904
StandardScaler,fixed_n,n=5,5,5,0.20907593421170137,0.004418368795698268,0.8978667964365422,0.05618950970130011
MinMaxScaler,fixed_n,n=5,5,4,0.2033002383787431,0.005317684759644313,0.8076132200081833,0.14048419547337865
StandardScaler,fixed_n,n=5,5,3,0.20227886445605425,0.00033737624460287443,0.9917529582960298,0.01649408340794043
MinMaxScaler,fixed_n,n=5,5,3,0.2019961454193168,0.00020841432546698233,0.9947921711330392,0.010415657733921837
MinMaxScaler,fixed_n,n=5,5,5,0.19050489192613423,0.004543195049582906,0.7284078287486895,0.1338054913725807
MinMaxScaler,fixed_n,n=10,10,2,0.18737846154813573,0.037082610136012474,0.559658983529553,0.4075032259105202
MinMaxScaler,fixed_n,n=5,5,6,0.18657820653336227,0.003380478451063362,0.7691937346326905,0.08943755348751822
MinMaxScaler,fixed_n,n=5,5,7,0.18035648823858225,0.006378296999787288,0.5789990600974348,0.11418054513492719
MinMaxScaler,evr,evr>=0.90,18,2,0.17812231253471267,0.00838345780621459,0.9133224285128198,0.11496744157421686
StandardScaler,evr,evr>=0.90,19,2,0.1741907709033436,0.003196953840608187,0.96948468062321,0.045530670141716294
MinMaxScaler,evr,evr>=0.95,22,2,0.16872388797413473,0.008201414613737386,0.8998327533271857,0.10624635844392874
MinMaxScaler,no_pca,-,30,2,0.16509095569484356,0.013774695725813904,0.8630971036157545,0.18454053638491463
StandardScaler,evr,evr>=0.95,23,2,0.16383575296030747,0.0033077801514108485,0.9297300417482764,0.040277125188094544
StandardScaler,no_pca,-,30,2,0.16185063380010017,0.0026569160192844135,0.942656678795047,0.035736944125295066
StandardScaler,fixed_n,n=8,8,5,0.15689788815074182,0.004805848040863509,0.8832114467413508,0.09397613883838271
MinMaxScaler,fixed_n,n=8,8,4,0.15388385679099018,0.002420559695421214,0.8931306621195897,0.05120447377791792
MinMaxScaler,fixed_n,n=8,8,5,0.15260956758177602,0.00798654150822626,0.6374776014684822,0.21268150217323156
StandardScaler,fixed_n,n=8,8,4,0.1503437069681694,0.0012488812189547199,0.8701781864464435,0.06456312966961825
StandardScaler,fixed_n,n=8,8,6,0.1494089113365097,0.007320348485319316,0.618421466303609,0.1051499486890487
MinMaxScaler,fixed_n,n=8,8,7,0.1491520547794732,0.004785027440932911,0.7268027533949878,0.12258180133447198
MinMaxScaler,fixed_n,n=8,8,3,0.14773910439538188,0.0008436672525778095,0.9474989823844965,0.10500203523100698
MinMaxScaler,fixed_n,n=8,8,6,0.14757845379262297,0.003240718859581586,0.6476042008100117,0.10670847912682842
StandardScaler,fixed_n,n=8,8,3,0.1437090684224825,0.0014017302918141856,0.862010737033275,0.09119848256544648
StandardScaler,fixed_n,n=8,8,7,0.14204231930975522,0.004873502090290895,0.579884333609394,0.1363779934471651
MinMaxScaler,fixed_n,n=10,10,4,0.129817557743232,0.0027077932584050907,0.8082108742315574,0.09493072790491416
MinMaxScaler,fixed_n,n=10,10,5,0.12938418529918733,0.007814349513179308,0.5515900900159489,0.18660656322409472
StandardScaler,fixed_n,n=10,10,4,0.12881511639145396,0.0013916025987369199,0.8340277480310688,0.06322264601246204
MinMaxScaler,fixed_n,n=10,10,3,0.12844828278243278,0.0005432247326350571,0.945298774024253,0.0555446909838774
MinMaxScaler,fixed_n,n=10,10,6,0.12803840543840941,0.008802774914735387,0.5509852356919143,0.13456821531011864
StandardScaler,fixed_n,n=10,10,5,0.12767462858011897,0.006043925599045596,0.6957991813761212,0.11203234464157888
StandardScaler,fixed_n,n=10,10,6,0.1259260389396088,0.0044044523487113685,0.5269512917905202,0.11480706384006038
StandardScaler,fixed_n,n=10,10,7,0.12590696485963035,0.005860232082237303,0.534385874465088,0.11047568934191307
StandardScaler,fixed_n,n=10,10,3,0.1235646871236586,0.0013463836995042634,0.8481394292765103,0.09764826238673976
MinMaxScaler,fixed_n,n=10,10,7,0.12327003605510471,0.004396656622888817,0.5886905712847849,0.1062656102408299
MinMaxScaler,evr,evr>=0.90,18,4,0.09635858367021366,0.003187487637489663,0.7074538634525568,0.10531986086702731
MinMaxScaler,evr,evr>=0.90,18,3,0.09388301121442962,0.0005089874365423658,0.8478141828152292,0.06703882041667629
MinMaxScaler,evr,evr>=0.90,18,6,0.09194614051154834,0.006863496933329637,0.497147322905793,0.12547734318417683
MinMaxScaler,evr,evr>=0.90,18,5,0.0901494671244275,0.007147431184814461,0.507860119655867,0.12245624018151512
MinMaxScaler,evr,evr>=0.95,22,4,0.08974029582785766,0.0027932324604620228,0.7236537277418583,0.1302346827406883
MinMaxScaler,evr,evr>=0.95,22,3,0.08869453535923202,0.0018418338359576553,0.8070064405875131,0.09885784391744393
StandardScaler,evr,evr>=0.90,19,4,0.08821320819635828,0.0021641544664115467,0.7917896905423559,0.06848578320130064
MinMaxScaler,evr,evr>=0.90,18,7,0.08815755413754753,0.006398726267834988,0.49025240594758474,0.12297359117321793
StandardScaler,evr,evr>=0.90,19,5,0.08616999412066914,0.0036565532291742624,0.6050556787719529,0.13129496269114807
MinMaxScaler,evr,evr>=0.95,22,6,0.08556637178903655,0.004334604233578236,0.5519545690245308,0.10906529627287798
StandardScaler,evr,evr>=0.90,19,3,0.08519035143239354,0.0011399326186918232,0.7939304191073424,0.07881266543386675
MinMaxScaler,no_pca,-,30,4,0.08495053693264638,0.0034033912728593753,0.6961953021542592,0.1356667025669355
StandardScaler,evr,evr>=0.90,19,7,0.08455202003454919,0.006427958990763605,0.5272202049676376,0.08032234363838404
MinMaxScaler,evr,evr>=0.95,22,5,0.08401361485360441,0.003284211185219021,0.5068473397608773,0.1255878148809404
MinMaxScaler,no_pca,-,30,3,0.08318271646879671,0.0011598993174386726,0.7810274580881779,0.09614584316524462
StandardScaler,evr,evr>=0.90,19,6,0.08168676501819896,0.006249344912099618,0.5007911771937373,0.10548693253640155
MinMaxScaler,evr,evr>=0.95,22,7,0.0813197137667664,0.005841213211575548,0.4507743426015807,0.09785698811039505
StandardScaler,evr,evr>=0.95,23,4,0.08096324745133261,0.0018119063291265145,0.7934143514233125,0.0815898062607891
StandardScaler,evr,evr>=0.95,23,3,0.07903461520899771,0.002340490255669865,0.7473284849117764,0.10252133867853348
StandardScaler,evr,evr>=0.95,23,5,0.07769445637065678,0.004481701438407422,0.6137030240541416,0.10373945618613345
StandardScaler,evr,evr>=0.95,23,7,0.0769879445734363,0.005634723802399971,0.4796872557327001,0.09962176702379835
StandardScaler,no_pca,-,30,4,0.07672704611514772,0.0029965167729268096,0.7640470891959731,0.10206445104920794
StandardScaler,evr,evr>=0.95,23,6,0.07664880154988829,0.007622744588695119,0.5011350791292574,0.09187887826658146
MinMaxScaler,no_pca,-,30,5,0.07641622708144646,0.007501944229204994,0.4758638670767264,0.11632974430280782
StandardScaler,no_pca,-,30,5,0.07424777663355381,0.005523437813584904,0.5923799968059528,0.09823555528990971
StandardScaler,no_pca,-,30,3,0.07418696218537729,0.0021019377086008966,0.7833269303086774,0.10544216592597236
StandardScaler,no_pca,-,30,6,0.07094376495924547,0.004842655955118587,0.46088491918608726,0.1143349339225536
MinMaxScaler,no_pca,-,30,6,0.06954854321830896,0.007560669459692113,0.4295491602509126,0.08984319358965384
StandardScaler,no_pca,-,30,7,0.06778152114046673,0.005902998159674083,0.4131364128676526,0.08715601096106654
MinMaxScaler,no_pca,-,30,7,0.06681505997846805,0.01049897501259063,0.38793552759200717,0.09352539629924543
